open_time,open,high,low,close,volume
1.64665E+12,38337.05,39285,38337.05,39071.48,12941.62206
1.64667E+12,39071.49,39547.57,37192.78,37308.94,16135.35156
1.64668E+12,37308.94,38517.82,37155,37988,11200.68746
1.6467E+12,37988.01,38972.08,37867.65,38695.87,8258.29547
1.64671E+12,38696.56,38831.7,38001,38547.79,7602.81674
1.64673E+12,38547.79,39186.58,38460.28,38983.05,8572.44337
1.64674E+12,38983.05,39226.99,38307.07,38658.34,13115.84878
1.64676E+12,38658.34,39362.08,38139.84,38764.88,13936.82276
1.64677E+12,38764.87,38897.68,38388.73,38730.63,4096.83926
1.64678E+12,38730.63,41448.84,38656.45,41217.73,15046.79735
1.6468E+12,41217.73,41884,41217.72,41791.1,12529.14324
1.64681E+12,41791.1,42438.81,41626.28,42151.66,12223.35193
1.64683E+12,42151.65,42594.06,41626.86,42520.99,13744.13345
1.64684E+12,42520.99,42558.96,41773.19,42204.65,8531.43225
1.64686E+12,42204.65,42320,41683.06,41941.71,5317.72977
1.64687E+12,41941.7,42039.63,40545.08,40768.51,13241.63659
1.64688E+12,40768.5,40834.93,38848.48,39238.9,17288.84532
1.6469E+12,39238.9,39317.32,38782.14,39076.38,8672.147
1.64691E+12,39076.39,40292.44,38539.73,39179.54,20530.94137
1.64693E+12,39179.55,39567.05,38904.63,39430.56,7255.40933
1.64694E+12,39431.8,39680,39050,39422,4973.95193
1.64696E+12,39422.01,39439.65,38223.6,38714.97,9879.2669
1.64697E+12,38714.97,39348.87,38337.03,39132.09,8188.20221
1.64699E+12,39132.1,40219.34,38806.86,39893.68,11697.23979
1.647E+12,39894.08,40236.26,38908,39080.26,15204.56918
1.64701E+12,39080.26,39094.84,38500,38792.59,7869.25806
1.64703E+12,38792.58,39177.48,38308.83,38729.57,6180.22806
1.64704E+12,38729.57,39327.99,38660.52,39088.94,4198.07907
1.64706E+12,39088.93,39261.46,38931.8,39104.99,2950.84658
1.64707E+12,39104.99,39284.46,38957.47,39079.16,3429.12969
1.64709E+12,39079.17,39262.95,38678.22,39042.04,5595.52404
1.6471E+12,39042.05,39486.71,38930.71,39030.08,5295.93547
